Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,174.95,-111.65,-90.0,top
C2,100n,C_0603_1608Metric,174.95,-114.65,90.0,top
C3,10u,C_0603_1608Metric,169.825,-104.65,0.0,top
C4,1n,C_0402_1005Metric,128.27,-118.237,90.0,top
C5,1n,C_0402_1005Metric,130.2004,-125.5268,90.0,top
C6,100n,C_0402_1005Metric,130.7,-108.5088,180.0,top
C7,1n,C_0402_1005Metric,127.635,-127.5588,-90.0,top
C9,1n,C_0402_1005Metric,129.7654,-118.6098,0.0,top
C10,100n,C_0402_1005Metric,130.8,-114.9,0.0,top
C11,1u,C_0402_1005Metric,125.222,-127.1016,0.0,top
C12,100n,C_0402_1005Metric,125.22,-128.08,0.0,top
C13,100n,C_0402_1005Metric,126.6952,-118.618,0.0,top
C14,100n,C_0603_1608Metric,165.8,-112.8776,90.0,top
C15,100n,C_0603_1608Metric,168.95,-114.4,0.0,top
C16,100n,C_0603_1608Metric,172.75,-104.65,180.0,top
C17,100n,C_0603_1608Metric,174.95,-105.825,-90.0,top
C18,10u,C_0603_1608Metric,177.3,-125.075,90.0,top
C19,100n,C_0402_1005Metric,173.005,-123.535,0.0,top
C20,100n,C_0402_1005Metric,172.6,-121.645,-90.0,top
C21,100n,C_0402_1005Metric,164.105,-129.385,90.0,top
C22,10u,C_0603_1608Metric,171.505,-131.45,0.0,top
C23,100n,C_0603_1608Metric,175.85,-125.075,90.0,top
C24,100n,C_0402_1005Metric,172.625,-129.921,-90.0,top
D1,1N5819,D_SOD-123,156.46,-120.21,180.0,top
D2,1N5819,D_SOD-123,139.539,-120.308,180.0,top
D3,LED_Small,D_0603_1608Metric,119.8,-110.28,90.0,top
D4,Blue_LED,D_0603_1608Metric,155.63,-122.242,0.0,top
D5,Blue_LED,D_0603_1608Metric,138.696,-122.262,0.0,top
J1,Screw_Terminal_01x04,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",180.024,-106.2,90.0,top
J4,Barrel_Jack,Barrel_Jack_2A_C84007,119.961,-103.378,0.0,top
J5,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",157.2,-127.975,0.0,top
J6,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",140.3,-128.015,0.0,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,140.332,-108.924605,-90.0,top
K2,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,157.232,-108.957,-90.0,top
L1,3.3uH,L_0603_1608Metric,174.45,-127.375,180.0,top
Q1,S8550,SOT-23,167.8455,-118.43,180.0,top
Q2,S8050_SMD,SOT-23,148.8737,-125.222,0.0,top
Q3,S8050_SMD,SOT-23,148.9733,-130.6576,0.0,top
Q4,S8550,SOT-23,175.514,-130.048,180.0,top
R1,1k,R_0402_1005Metric,171.675,-119.29,90.0,top
R2,4k7,R_0402_1005Metric,166.05,-107.39,-90.0,top
R3,1k,R_0402_1005Metric,148.463,-123.0376,0.0,top
R4,1k,R_0402_1005Metric,148.5669,-128.4732,0.0,top
R5,68k,R_0402_1005Metric,127.52,-106.65,0.0,top
R6,100k,R_0402_1005Metric,127.3,-116.1,0.0,top
R7,33k,R_0402_1005Metric,129.7,-116.1,0.0,top
R8,220R,R_0402_1005Metric,132.9944,-127.1016,180.0,top
R9,1k,R_0402_1005Metric,119.37,-112.48,180.0,top
R10,68k,R_0402_1005Metric,126.619,-127.635,90.0,top
R11,33k,R_0402_1005Metric,130.175,-123.571,-90.0,top
R14,33k,R_0402_1005Metric,126.6952,-117.5512,0.0,top
R15,33k,R_0402_1005Metric,129.74,-117.62,0.0,top
R16,120R,R_0402_1005Metric,158.111,-121.942,0.0,top
R17,120R,R_0402_1005Metric,141.19,-122.04,0.0,top
R18,27k,R_0402_1005Metric,173.7,-125.6,90.0,top
R19,12k,R_0402_1005Metric,172.605,-125.585,-90.0,top
R20,100R,R_0402_1005Metric,174.075,-121.2,180.0,top
R21,100R,R_0402_1005Metric,174.075,-122.2,180.0,top
R22,10k,R_0402_1005Metric,168.8,-131.2,0.0,top
U1,"74LVC125APW,118",SOP65P640X110-14N,170.279,-101.1,0.0,top
U3,TMP23X,SOT65P210X110-5N,123.4,-112.3,90.0,top
U4,ACS712x,SOIC-8_3.9x4.9mm_P1.27mm,128.651,-111.7092,0.0,top
U6,HX711,SOP-16_3.9x9.9mm_P1.27mm,168.375,-125.465,180.0,top
